Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
A1BG	15	P04217	1.0	25.568524770238874	25.707955406991704	21.885795830997242	22.73451474543841	26.04874620334875	23.281860048411435	26.11325280061528	26.100170143376065	26.357434236489173	22.9044055329058	26.278529954965034	25.568524770238874
A1CF	48	Q9NQ94	1.0	26.123461329957156	26.376207529323356	22.13641158425454	23.39844898239138	27.212076551338797	22.751400270268462	26.55744646394736	26.513271584356186	26.680372203487803	23.116847374260086	26.900642060896246	26.123461329957156
A2M	129	P01023	1.0	27.327137503270787	27.309101395400074	23.33288373565338	24.4345224612718	27.88501630987228	24.086565706381272	27.945319414156938	28.016105590508033	27.88363902759975	24.619222556783306	28.217207698754503	27.327137503270787
AAAS	6	Q9NRG9	1.0	22.341126286797827	22.45357510510419	18.654285369466255	19.507882353929514	23.606918928020818	19.65864678502263	22.843661606194864	22.716984216398032	22.873085939057454	19.42559193554974	22.812833784214913	22.341126286797827
AACS	5	Q86V21	1.0	21.034933461853644	21.335705202904418	16.773478830611452	18.293384837346093	21.82023999909198	17.78428542755552	21.630235051185895	21.93644534056866	21.3691760960745	18.797113222407706	21.731309819514326	21.034933461853644
AADAC	33	P22760	1.0	27.862741633886095	27.116314425584783	23.22695708379161	24.354166164168287	27.88977387287059	24.628692155223522	28.591347265372157	28.72120599589829	29.119260272222515	25.25804353870346	28.563931334885417	27.862741633886095
AADAT	15	Q8N5Z0	1.0	25.222223466408416	26.597065885414995	21.853413445093217	23.853263277920128	25.132112992129873	22.48203600544822	25.245200755032133	25.303514096609465	25.977987177244447	21.675261482413326	26.08193480637239	25.222223466408416
AAK1	11	Q2M2I8	1.0	23.723785723550392	23.38462434843157	20.505552543641517	20.375531844354	24.86597635195894	21.147970854144226	24.148773303802823	24.139868926689655	24.11386308186675	20.669604835081934	24.146503217847314	23.723785723550392
AAMDC	7	Q9H7C9	1.0	23.629055106935954	23.4614542025824	19.113666741988354	20.922434039924017	24.896253406253397	20.28243503795293	24.69044939031371	24.792031774071422	23.89583430728409	21.483606904707585	23.30448015074445	23.629055106935954
AAMP	5	Q13685	1.0	22.175611346749058	22.719735135172133	18.259233635522165	19.81663508511931	23.338517487860358	18.797128685256663	22.512046699937127	22.61652706916815	22.949953943813476	18.91101698539033	22.93953021081557	22.175611346749058
