Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
A0A075B6I0	2	IGLV8-61	1.0	21.202911497523747	-1.0646917459403262	-4.792155402477347	-3.523158645630362	0.5158457035357813	-3.891005511617192	0.919722570639836	0.7724499872755253	0.8312785940335488	-2.408387992932454	1.1739192563774914	21.202911497523747
A0A075B6I9	1	IGLV7-46	0.9998	21.80538505995146	-0.03165489129112942	-5.39490869996945	-2.791292954274512	0.39219983710129824	-4.265995278412927	0.9459154528420193	1.0831955265212443	1.0184781863783918	-2.3323167766733928	0.28644237798290817	21.80538505995146
A0A075B6K4	4	IGLV3-10	1.0	21.952465350853824	-0.1248882383820682	-3.475661964935732	-3.3093430969254785	0.5322089835956589	-2.275626377086935	0.7288003857751981	0.962175559042298	0.6559375136948775	-2.4868578645243113	0.7238326979339975	21.952465350853824
A0A075B6K5	1	IGLV3-9	1.0	20.23258636788513	-0.177709170389452	-4.032220636088834	-2.7724735646753427	0.3823859092190496	-3.031943719032565	0.8985907275044767	1.09863223851411	0.8561417496170591	-1.800277023903222	0.4642427109130338	20.23258636788513
A0A075B6R9	3	IGKV2D-24	1.0	23.1439643979937	0.41962768617765533	-4.643089868749399	-2.550716781599892	0.41406101218091607	-3.5072740207302164	1.0145460431358622	0.824499441192053	0.8496825772804399	-2.4103594304165377	0.12856403240286696	23.1439643979937
A0A075B6S2	2	IGKV2D-29	1.0	21.301771041329754	0.16151823505568963	-4.019538385125896	-2.937090285441955	1.071992081988478	-3.2074668152510464	0.7884204518947779	0.6534815278038	0.6488277220192167	-2.7835243724586594	0.5314702606452073	21.301771041329754
A0A075B6S6	1	IGKV2D-30	0.9887	20.65222650757876	-0.4189797656501355	NA	-2.9609694592100677	0.1714779525582344	-3.8822134147568406	1.0871509874130751	0.4639904664206931	0.43080827741917105	-2.393561833029393	0.916398096925608	20.65222650757876
A0A087X1C5	1	CYP2D7	1.0	18.039368100921752	0.6997961662059193	NA	-1.7603247646192095	0.3679747762321899	-2.7688625441050316	0.17823765332595265	0.38253887208602855	0.6014040963875917	-3.2652360608495243	0.6662548349764581	18.039368100921752
A0A0A0MRZ8	1	IGKV3D-11	0.9999	22.093467857692705	-0.2557996534466582	-4.009520325367289	-2.821947575948773	0.7021403050915964	-2.951852243838003	0.9457103368170081	0.907879989589901	0.8003637168116278	-2.142759593208538	0.5184349004924513	22.093467857692705
A0A0A0MS15	1	IGHV3-49	0.9949	20.092344926614896	-0.028135900530681823	-2.8404363496722365	-2.657367403794746	0.5111701910506063	-2.7257286262463065	0.4225380637155176	0.5167481843690531	0.6082162985521187	-2.091928613700407	1.3867321241428172	20.092344926614896
A0A0A0MT89	1	IGKJ1	0.9987	19.326514771630915	-0.023346563576115642	-4.943303297295598	-2.975263544188641	0.9873408593286079	-3.2258562121727206	0.8186839915529447	0.7314957838289189	0.8027736539391768	-2.4218349318927714	0.4974829327844539	19.326514771630915
A0A0B4J1U7	2	IGHV6-1	0.9788	21.846552707497104	0.042824686685790425	-3.7450803153237366	-2.6195976000661316	0.37452790043210094	-3.626321966494185	0.9057865522645425	0.9748640455977498	0.9018209728604845	-2.69525579251205	0.2075896972731197	21.846552707497104
A0A0B4J1V0	2	IGHV3-15	1.0	24.011770741356365	0.27740132280476537	-3.315883859895232	-2.577131436117007	0.8964919070268813	-2.8679266962440506	0.6713377067224027	0.7378350737313788	0.6959820888563737	-2.7812086734150867	0.5265238827605749	24.011770741356365
A0A0B4J1X5	2	IGHV3-74	0.9934	21.668442496981537	-0.11203246540286749	-3.925098094248372	-2.513427172130455	0.7591955914318191	-3.0697201940552166	0.6464096524384146	0.6116472294533786	0.7568254120531872	-2.354292821204928	0.9952602851333889	21.668442496981537
A0A0B4J2A2	1	PPIAL4C	0.988	24.275927003700524	0.6871426516310244	-4.305254362202895	-2.163547433591493	1.1684088814654352	-4.184775720452432	0.23990037434860412	0.5745722139375253	0.2974710910166678	-2.9557691027904127	0.8363042185493477	24.275927003700524
A0A0B4J2D5	37	GATD3B	1.0	28.59303075386432	0.6240370094939927	-4.0382558767835475	-2.318643744354728	1.3701417643894764	-3.3521968554827355	0.23763003587037446	0.05737118187667889	0.8182143585721198	-3.355322693234159	0.0029309069497500673	28.59303075386432
A0A0B4J2F0	3	PIGBOS1	1.0	22.32868392826831	0.2880860080333747	-4.211981275718829	-2.384982901703175	0.9811024523206981	-3.768782770653697	0.37926751472177145	0.020783409743998504	0.8451977848979304	-3.9286028408736478	1.0000256152107845	22.32868392826831
A0A0B4J2F2	1	SIK1B	0.9896	20.169471201627072	1.05436894881327	-4.636453892970973	-2.4560006566438375	0.6881664747167662	-3.426075378030614	0.17483706350832762	0.4194231924779075	0.5638815190306161	-3.3822511099475765	0.9679712652858328	20.169471201627072
A0A0C4DH25	1	IGKV3D-20	0.9996	22.73951858338525	0.3543371899744798	-4.481180050698789	-3.19095464771506	1.2742032522920717	-3.643072287225486	0.6522450594497649	0.5069394716302149	0.732364242364735	-3.173086247035073	0.38267487071072637	22.73951858338525
A0A0C4DH29	4	IGHV1-3	1.0	22.03492047489527	-0.23298504302935008	-4.585098258046862	-3.0739667118621767	0.48529410033196285	-3.538688367292071	0.5425895134674725	0.3858912322974266	0.561663373617975	-2.7700177385125793	1.3147479429613345	22.03492047489527
A0A0C4DH31	1	IGHV1-18	1.0	21.86860450064207	-1.9082169999467986	NA	-4.340096945729865	-0.38840391138472086	-3.571692271405407	0.9154289623234071	1.3323334118038588	1.0485031715584547	-1.935367863694367	0.1402068031247481	21.86860450064207
A0A0C4DH34	2	IGHV4-28	1.0	22.50987782496985	0.10028189072140492	-4.6029072841344325	-2.4355907099994374	0.14548921993270092	-3.588499492525484	1.007837433217201	1.0509378319604519	1.00091391425023	-2.423780780764714	0.3042974573137336	22.50987782496985
