Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	trt1	127N	128C	129N	130C	131N	RefInt_TMT6_FP18_chimerys
A0A024RBG1	6	NUDT4B	1.0	22.73580286699274	22.872036117282978	22.807676721663015	22.680943447608584	22.739578191145984	22.67304461267056	22.6186767177939	22.73580286699274
A0A075B767	5	PPIAL4H	0.9986	22.929893813756905	22.89361546501465	22.88219440829612	22.92800782225218	22.998988443322382	22.843693828414615	23.034285186232108	22.929893813756905
A0A087X1C5	1	CYP2D7	0.9865	20.905838687355832	21.095334588621185	20.992913780548562	20.73578160208204	20.86868216403566	20.924698820595005	20.786924181323762	20.905838687355832
A0A096LP01	1	SMIM26	0.9998	20.02570086178955	20.169583125366668	20.156835756311665	19.997536613342998	20.02891231046925	19.961289529795916	19.80934949402701	20.02570086178955
A0A0B4J2A2	1	PPIAL4C	1.0	20.69982453167989	20.942733907747254	20.840202400084017	20.557345429088105	20.583932803025714	20.437407118920426	20.77291395173171	20.69982453167989
A0A0B4J2D5	20	GATD3B	1.0	25.328437544382908	25.378107025775343	25.37403990926544	25.296796847950578	25.330873613685736	25.308625382132885	25.255454169325212	25.328437544382908
A0A0B4J2F0	2	PIGBOS1	1.0	22.721482061403734	22.572293086613772	22.69100392687637	22.697483727642382	22.857982577734063	22.716703943673387	22.759066168588795	22.721482061403734
A0A0U1RR11	1	CENPVL1	1.0	21.741149882593838	21.78099268427562	21.820523854840715	21.667217195557836	21.735685870865108	21.735103015986542	21.702190552229858	21.741149882593838
A0A0U1RRE5	2	NBDY	0.9999	21.01078319378275	21.10559377303816	21.08058211628669	20.993426617748764	21.067841088645462	20.87297538066055	20.92108999030718	21.01078319378275
A0A1B0GTU1	1	ZC3H11B	1.0	14.816448554860777	14.759943739027225	14.78268064785219	14.872552342181839	14.945130015086383	14.802637286745574	14.724297103064613	NA
A0AVT1	31	UBA6	1.0	24.356055672566733	24.389023091447836	24.421585354064526	24.331575408579173	24.38189281419734	24.257870342010047	24.27750083809066	24.356055672566733
A0FGR8	41	ESYT2	1.0	25.811621694304012	25.82949551328117	25.882794609674203	25.777278373453086	25.830357835926232	25.77150477065331	25.748293372719612	25.811621694304012
A0JLT2	2	MED19	1.0	16.008594512770138	16.02724455717459	16.03950179866723	15.795375925630172	16.239331884319725	15.895465863896447	15.996065476858062	16.008594512770138
A0JNW5	4	UHRF1BP1L	1.0	22.995849671698796	22.934395754153968	23.05470998683939	22.995179200427415	22.986066016894863	22.892192490457624	22.999712047661127	22.995849671698796
A0PJW6	1	TMEM223	1.0	21.671931211422102	21.755084330185127	21.790521775380082	21.67395838861767	21.682885922885568	21.54040305834287	21.572039909102248	21.671931211422102
A1KXE4	1	FAM168B	1.0	18.824603758040695	18.88456608916058	18.790750439430184	18.968039264299044	18.755527620589053	19.02104332992297	18.460787406444346	18.824603758040695
A1L0T0	13	ILVBL	1.0	22.81555777596391	22.767144635533214	22.84903145464246	22.809874795484077	22.81562426059907	22.870300801248412	22.813377921375075	22.81555777596391
A1L390	1	PLEKHG3	0.9959	21.898041859082124	22.189503138011514	22.05785049612408	21.81643743201095	21.83991998267636	21.67446382724349	21.741259027686368	21.898041859082124
A2A3N6	2	PIPSL	0.9941	23.165552096228414	23.274939674210128	23.297922440750973	23.134201202830187	23.13511024328019	23.05732162288354	23.06693029029874	23.165552096228414
A2RRP1	9	NBAS	1.0	24.8837790966261	24.9845123213939	24.875639924254582	24.881247510280357	24.891083809384913	24.789074793030032	24.832173699040034	24.8837790966261
A2RTX5	6	TARS3	1.0	23.64837705040623	23.708870219074363	23.57451500000973	23.672719640737128	23.72184385600769	23.626759480778503	23.601098163836983	23.64837705040623
A2RU67	1	FAM234B	0.9691	18.119316954849417	18.124146642037807	18.176549437222384	17.955493896419615	18.10699423671466	18.168859663895557	18.17185888278163	18.119316954849417
A2RUC4	1	TYW5	1.0	19.33300072386964	19.339614620136285	19.36905462406087	19.286788076312124	19.33219599482585	19.33487679645588	19.334270456781617	19.33300072386964
A2RUS2	3	DENND3	1.0	19.936293995281	19.883467871995823	20.090892386765077	20.001053818579678	19.966733041019005	19.7301113650947	19.828529714274858	19.936293995281
A2VDF0	1	FUOM	0.9869	18.64519752601891	18.7729623560554	18.936346049318065	18.981606296993526	18.681484026059024	18.154253475669588	18.097574633272323	18.64519752601891
A2VDJ0	1	TMEM131L	0.9982	18.439595833835803	18.396664601607885	18.477162749719998	18.600012329347415	18.48825844232229	18.34433379282637	18.311313754305388	18.439595833835803
A3KMH1	27	VWA8	1.0	23.383932923893575	23.345422866836508	23.402206030857265	23.380374884775502	23.40753007147039	23.373882104049713	23.35147481380971	23.383932923893575
A3KN83	45	SBNO1	1.0	24.60121962226596	24.609647085532004	24.643688474370087	24.615966315127245	24.636401091447393	24.549186848708125	24.55557949477939	24.60121962226596
A4D1E9	9	GTPBP10	1.0	23.789045030456883	23.827380892388142	23.860353348395574	23.774267436727822	23.800654083583357	23.73935878345018	23.718203663617622	23.789045030456883
A5A3E0	5	POTEF	1.0	21.98456898037061	21.91711203662951	22.0848113190083	22.052362986811502	21.975578189235602	21.98674110767411	21.861046906174103	21.98456898037061
A5PLL7	1	TMEM189	1.0	14.816448554860777	14.923113626502802	14.889007562499485	14.832323772846198	14.865598999638312	14.801161812152642	14.558891616879789	NA
A5PLN9	2	TRAPPC13	1.0	21.159274444171682	21.187680666468207	21.190033316635038	21.140838555660086	21.205305330930948	21.144024188294367	21.081300607085957	21.159274444171682
A5YKK6	39	CNOT1	1.0	24.551692036659652	24.566605623538322	24.609095279582462	24.55463813072458	24.583320602407046	24.509508914289096	24.498481921706155	24.551692036659652
A6H8Y1	1	BDP1	1.0	18.902199387885343	18.918882991410644	18.92553938954445	18.871224384816912	18.817370896868916	18.991824175018216	18.882313073980498	18.902199387885343
A6NC98	7	CCDC88B	1.0	23.718407570323464	23.740919274397335	23.77675849236814	23.717845740721003	23.69822594848633	23.733737190236553	23.60371098819741	23.718407570323464
A6NCE7	1	MAP1LC3B2	0.9998	20.403723572745104	20.455815024034298	20.485897032259608	20.435463295065123	20.438745529076886	20.279468422834622	20.31495863759677	20.403723572745104
A6NDG6	21	PGP	1.0	25.574910903283783	25.570971233945354	25.586492245614618	25.570953585395078	25.637772372909094	25.51939069114623	25.547291378783537	25.574910903283783
A6NDU8	6	C5orf51	1.0	22.709803043097597	22.813622598362304	22.770839998516376	22.660960078337894	22.726846115894805	22.64150341062725	22.632410905271726	22.709803043097597
A6NED2	4	RCCD1	1.0	22.415833577700806	22.39904612569876	22.407809768036724	22.401154294404346	22.507082965022537	22.35832791539728	22.41411103111412	22.415833577700806
A6NEL3	1	FAM86C2P	1.0	21.33748019803763	21.30081019013482	21.275118889644073	21.287973032198682	21.369190949620293	21.45659042892248	21.327123959431603	21.33748019803763
A6NFI3	1	ZNF316	1.0	18.439726840613766	18.490679076827146	18.294727951697947	18.30053597885829	18.534479014629163	18.657208810160153	18.321091933071017	18.439726840613766
A6NHL2	1	TUBAL3	0.9994	20.443370261467084	20.035719207398046	20.587087896232905	20.518394719001392	20.57224793474039	20.54258440781484	20.328383125918954	20.443370261467084
A6NHQ2	2	FBLL1	0.9999	24.552830291181092	24.703642701071068	24.609023674079214	24.636457799576835	24.5591279219503	24.46597043297726	24.301364832018802	24.552830291181092
A6NHR9	54	SMCHD1	1.0	25.160202429128073	25.182977067058133	25.19285686314899	25.173087388770586	25.19457624033876	25.10400287870735	25.12276759835378	25.160202429128073
A6NIH7	7	UNC119B	1.0	23.332021324300065	23.348000203720577	23.368999982110243	23.333687553948174	23.352903411052548	23.309261821515364	23.30205703242029	23.332021324300065
A6NJ78	1	METTL15	0.999	19.49656472916648	19.658432951847786	19.67410747314407	19.44007517229005	19.4587901910429	19.345214141202064	19.367058706827727	19.49656472916648
