Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	trt1	127N	128C	129N	130C	131N	RefInt_TMT6_FP18_chimerys
A1BG	1	P04217	0.9895	20.5120127634	0.026278683160875005	-0.07577707379355658	0.016130567915485727	-0.10553401945307073	-0.1443192952542347	0.2476560299419468	20.5120127634
A2M	10	P01023	1.0	25.866929439963418	0.29341299384892494	-0.20336429906633136	-0.24082567408290956	-0.3256425602153872	0.14639293650392204	0.13266669823144284	25.866929439963418
AAAS	14	Q9NRG9	1.0	25.20439856295405	0.0841190644141463	0.03092113933535323	-0.032028695240100546	-0.023020054736635487	-0.10055758493328959	-0.08785448823967101	25.20439856295405
AACS	7	Q86V21	1.0	23.24639442425649	0.059237707692574304	0.03251219172213382	-0.0033744398271124965	0.031140380471267548	-0.0746739555676541	-0.1224815152997003	23.24639442425649
AAGAB	7	Q6PD74	1.0	22.869762722761617	0.011984723735174896	0.07536886103086893	-0.020186062065274513	0.026270409071798895	-0.07698551894788253	-0.022357092239495557	22.869762722761617
AAK1	3	Q2M2I8	1.0	21.065318490626968	-0.18683314494246872	-0.07020358725288389	-0.23623324910331078	0.16424382880802213	0.11584945716110084	0.15809643203768786	21.065318490626968
AAMP	10	Q13685	1.0	25.34226925610333	0.02431102398614904	0.06772574970129952	-0.03810828703698732	0.016416643750327253	-0.02473403772073013	-0.008766042079614067	25.34226925610333
AAR2	5	Q9Y312	1.0	23.303234898259692	-0.04605420037612262	0.11337163282558116	0.06898567995938443	0.05546749577709775	-0.07189109423346096	-0.061155800466945465	23.303234898259692
AARS1	84	P49588	1.0	26.625490105851974	0.006047727651152357	0.06272553381371182	3.9182054563013935E-4	0.03445368743434152	-0.07717537828963028	-0.0734784171416516	26.625490105851974
AARS2	13	Q5JTZ9	1.0	24.253125555320374	-0.030599227443861565	0.05942525395779796	-0.01899430907586286	0.017556367697583397	0.0016987730497390885	-0.052246475218494126	24.253125555320374
AARSD1	15	Q9BTE6	1.0	24.935069166177474	0.02366021925912598	0.041482428670271076	0.02307345924086235	0.04444447764423742	-0.06719222386854895	-0.055307246754836115	24.935069166177474
AASDHPPT	19	Q9NRN7	1.0	26.069707652272758	-0.007330081076611705	0.021508587766184917	-0.01610478788687164	0.055053522302582536	-0.05647712894633905	0.007354290701693245	26.069707652272758
AATF	21	Q9NY61	1.0	24.990990229362232	0.050278780819645874	0.041232054479394264	-0.009039407330810434	0.0513080421870189	-0.0699984233355444	-0.0525510897500201	24.990990229362232
ABCB10	18	Q9NRK6	1.0	25.050580052150764	-0.006333917506049502	0.03619117004054395	0.0339649270536313	0.02331960434832503	-0.05051893933247875	-0.02747367637524256	25.050580052150764
ABCB7	4	O75027	1.0	23.35087483880961	0.09157700652691325	-0.013484928939768714	-0.021723587303183578	0.009289230229076573	-0.04409506226669713	-0.03056797933933275	23.35087483880961
ABCC1	3	P33527	1.0	21.7770589213527	0.008224892689018048	0.08893026951790972	-0.006315139187854868	-0.016621810741540344	-0.061659829267671995	-0.08668640587667298	21.7770589213527
ABCC4	2	O15439	0.9999	19.2230048303625	-0.05598305536790438	0.06946560593107876	0.12439070802969532	0.0448778754278063	-0.07687952479867377	-0.14106755789470338	19.2230048303625
ABCD1	1	P33897	1.0	19.363157605344668	0.13604712961172538	-0.012332120005048353	0.053661870691751545	-0.027734326154718048	-0.057123712647523917	-0.10533772498699179	19.363157605344668
ABCD3	5	P28288	1.0	22.975323739335778	-0.059354507631876885	0.06647811160834394	-0.018637626273289243	0.008944984548357127	0.01989798448727953	-0.04977930147909504	22.975323739335778
ABCE1	80	P61221	1.0	27.56370379478847	0.04947866035092652	0.057378226056336246	-0.005241578312030981	0.0356927532992497	-0.06068997021218259	-0.07705584059082327	27.56370379478847
ABCF1	47	Q8NE71	1.0	25.69938984139291	0.026108986392650024	0.046452061707412895	-0.016141375033186023	0.047373251706329	-0.03676105817991626	-0.07266250663183982	25.69938984139291
ABCF2	41	Q9UG63	1.0	25.32247471925202	0.04427819044146908	0.09881445350736939	-0.006384721762263901	0.03111371678804531	-0.11964870953267592	-0.09641169701550467	25.32247471925202
ABCF3	20	Q9NUQ8	1.0	23.700457498391742	0.04189230330764193	0.05584954373651385	0.0017298844846855843	0.025743678129142467	-0.058431246248560775	-0.06771003586217272	23.700457498391742
ABHD10	10	Q9NUJ1	1.0	24.010678171659862	0.25473331051761683	0.022940980726474436	0.01479498233659271	0.003960522501111008	-0.2559813328356988	-0.14084109825168767	24.010678171659862
ABHD11	6	Q8NFV4	1.0	23.538305804011653	-0.034195855472892944	0.030868472628729826	-0.05708416677091943	0.10489991633771378	0.03718656846132795	-0.10518169428495838	23.538305804011653
ABHD12	3	Q8N2K0	1.0	21.69739571973168	0.01095174547230826	0.06465299917915601	-0.004807524253184425	0.04362319832236139	0.016541475629239244	-0.10073534220242308	21.69739571973168
ABHD14B	10	Q96IU4	1.0	25.2286502438025	-0.05812392957799162	-0.013539014112359027	-0.029601162411971416	0.07571918844212	0.026639601731538676	0.021521993893821367	25.2286502438025
ABHD15	1	Q6UXT9	1.0	14.816448554860777	0.19870396045301675	0.2627803834784963	-0.01750009170921274	-0.05544573150316978	-0.20075600440856078	-0.26498105283894446	NA
ABHD16A	4	O95870	1.0	24.21760484806006	0.06615706595350268	0.056795133761115224	-0.035428057160016735	0.028726867707343118	-0.06882792679753358	-0.010380121999316927	24.21760484806006
ABHD17B	2	Q5VST6	1.0	19.06407979713585	-0.130428626523436	0.006923646470627709	-0.025844836859262088	0.1634346850122359	-0.14686147285499818	0.06993646667608644	19.06407979713585
ABI1	10	Q8IZP0	1.0	23.867001160261335	0.007605604570084523	0.06005870164261573	-0.01538158500439657	0.060501860124558604	-0.03012134014405099	-0.08313584653387274	23.867001160261335
ABI2	3	Q9NYB9	1.0	21.794242862236796	0.025205171087577583	-0.0333537938288444	0.005748477052804901	0.03007333869268436	-0.07708033760134114	0.05131499737446177	21.794242862236796
ABI3	2	Q9P2A4	1.0	20.741416021691457	-0.05364432029692434	-0.04429339335657634	-0.05998709839709271	0.12707089066489097	0.031091844489415266	-0.02145848224356417	20.741416021691457
ABL1	3	P00519	1.0	21.10579385200616	0.011658830185298896	0.0043061618947852764	0.09117674038035517	0.02145108022426001	0.02995027894597513	-0.11408059853390995	21.10579385200616
ABLIM1	4	O14639	1.0	21.687521898022837	0.04838103835026253	0.0060309112804839415	-0.010104393641925391	0.016788936398458354	-0.19843066115073338	-0.02429547821416378	21.687521898022837
ABR	5	Q12979	1.0	22.453011380185284	-0.0833983270024845	0.017966061808916578	0.0075937637007292835	0.029009794955218382	-0.03822674102124779	0.010522904013697598	22.453011380185284
ABRACL	12	Q9P1F3	1.0	26.37335202270713	-0.11017097712738888	-0.07912647465436962	0.04270928608306157	0.11238057289962455	-0.044135274083423326	0.06129845926693811	26.37335202270713
ABRAXAS2	8	Q15018	1.0	22.939139717244032	0.02780474475639405	0.07692951467356934	0.007140182281456298	0.010101197513211702	-0.038796063494366706	-0.06930528098528388	22.939139717244032
ABT1	9	Q9ULW3	1.0	28.05172831125337	0.0234601172028448	0.011254005167259606	-0.028993420595393005	0.06236919170100208	-0.0885804905401919	-0.060238832915775475	28.05172831125337
ABTB2	1	Q8N961	0.993	20.158788406691166	0.1191340781681447	0.40014195620598514	-0.18462952086380646	-0.14128104974669853	-0.06196389095666177	-0.2349208881894338	20.158788406691166
ACAA1	20	P09110	1.0	23.894657130415304	-0.051842666569669404	0.01854898169827912	-0.024174953719011683	0.05712458394008024	0.004187749536812113	0.002629199491439138	23.894657130415304
ACAA2	40	P42765	1.0	26.099143614494942	0.020271522338870085	0.06641170454443035	-0.008868956425107655	0.011695334391502499	-0.03644616660990074	-0.06375700224431657	26.099143614494942
ACACA	47	Q13085	1.0	24.48114403311095	0.027805852126725483	0.05512748476180107	-0.007823808206083527	0.03782112503869506	-0.052885982117254926	-0.05657576177089396	24.48114403311095
ACAD10	2	Q6JQN1	1.0	19.38896610980112	-0.024932710162372196	0.13411375492828626	0.11573879923505448	-0.09772493460861131	-0.11859075457282664	-0.03642649220929073	19.38896610980112
ACAD8	5	Q9UKU7	1.0	23.063619833578862	-0.04927685637165524	0.03557623244257968	0.0048241582274641814	0.048209476148088015	-0.08219708990292496	-0.034680290683713366	23.063619833578862
ACAD9	16	Q9H845	1.0	26.337699951828267	0.08205017824541283	0.0659774288499726	-0.012154700213644176	0.019975472684507167	-0.036463463849654154	-0.07168967989123143	26.337699951828267
ACADM	23	P11310	1.0	25.859211547407213	0.052230135246876586	0.0633659104539106	-0.02873289767126508	0.01457791821922072	-0.06685759139153191	-0.06312620127546253	25.859211547407213
