yourlist:M202107255BF3C56A578D7D6DFD1FC81EE5DA77300E96A39	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ALBU_BOVIN	P02769	ALBU_BOVIN	reviewed	Albumin (BSA) (allergen Bos d 6)	ALB	Bos taurus (Bovine)	607
AMYS_HUMAN	P0DTE7	AMY1B_HUMAN	reviewed	Alpha-amylase 1B (EC 3.2.1.1)	AMY1B AMY1	Homo sapiens (Human)	511
AMYS_HUMAN	P0DTE8	AMY1C_HUMAN	reviewed	Alpha-amylase 1C (EC 3.2.1.1)	AMY1C AMY1	Homo sapiens (Human)	511
AMYS_HUMAN	P0DUB6	AMY1A_HUMAN	reviewed	Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)	AMY1A AMY1	Homo sapiens (Human)	511
CAS1_BOVIN	P02662	CASA1_BOVIN	reviewed	Alpha-S1-casein (allergen Bos d 8) [Cleaved into: Antioxidant peptide]	CSN1S1	Bos taurus (Bovine)	214
CAS2_BOVIN	P02663	CASA2_BOVIN	reviewed	Alpha-S2-casein [Cleaved into: Casocidin-1 (Casocidin-I)]	CSN1S2	Bos taurus (Bovine)	222
CASB_BOVIN	P02666	CASB_BOVIN	reviewed	Beta-casein [Cleaved into: Casoparan; Antioxidant peptide; Casohypotensin]	CSN2	Bos taurus (Bovine)	224
CASK_BOVIN	P02668	CASK_BOVIN	reviewed	Kappa-casein [Cleaved into: Casoxin-C; Casoxin-6; Casoxin-A; Casoxin-B; Casoplatelin]	CSN3 CSN10 CSNK	Bos taurus (Bovine)	190
CTRA_BOVIN	P00766	CTRA_BOVIN	reviewed	Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]		Bos taurus (Bovine)	245
CTRB_BOVIN	P00767	CTRB_BOVIN	reviewed	Chymotrypsinogen B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]		Bos taurus (Bovine)	245
K1C10_HUMAN	P13645	K1C10_HUMAN	reviewed	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	KRT10 KPP	Homo sapiens (Human)	584
K1C15_SHEEP	O77727	K1C15_SHEEP	reviewed	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15	Ovis aries (Sheep)	453
K1C9_HUMAN	P35527	K1C9_HUMAN	reviewed	Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)	KRT9	Homo sapiens (Human)	623
K1H1_HUMAN	Q15323	K1H1_HUMAN	reviewed	Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)	KRT31 HHA1 HKA1 KRTHA1	Homo sapiens (Human)	416
K1H2_HUMAN	Q14532	K1H2_HUMAN	reviewed	Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2) (Keratin-32) (K32)	KRT32 HHA2 HKA2 KRTHA2	Homo sapiens (Human)	448
K1H4_HUMAN	O76011	KRT34_HUMAN	reviewed	Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)	KRT34 HHA4 HKA4 KRTHA4	Homo sapiens (Human)	436
K1H5_HUMAN	Q92764	KRT35_HUMAN	reviewed	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	KRT35 HHA5 HKA5 KRTHA5	Homo sapiens (Human)	455
K1H6_HUMAN	O76013	KRT36_HUMAN	reviewed	Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6) (Keratin-36) (K36)	KRT36 HHA6 HKA6 KRTHA6	Homo sapiens (Human)	467
K1H7_HUMAN	O76014	KRT37_HUMAN	reviewed	Keratin, type I cuticular Ha7 (Hair keratin, type I Ha7) (Keratin-37) (K37)	KRT37 HHA7 HKA7 KRTHA7	Homo sapiens (Human)	449
K1H8_HUMAN	O76015	KRT38_HUMAN	reviewed	Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8) (Keratin-38) (K38)	KRT38 HHA8 HKA8 KRTHA8	Homo sapiens (Human)	456
K1HA_HUMAN	O76009	KT33A_HUMAN	reviewed	Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)	KRT33A HHA3-I HKA3A KRTHA3A	Homo sapiens (Human)	404
K1HB_HUMAN	Q14525	KT33B_HUMAN	reviewed	Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)	KRT33B HHA3-II HKA3B KRTHA3B	Homo sapiens (Human)	404
